City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Tirukkoyilur,IN,11.95,79.2,85.6,63,93,6.73,overcast clouds
79,Jalu,LY,29.0331,21.5482,93.42,18,21,12.41,few clouds
80,Lata,PT,40.1629,-8.3327,74.07,53,88,2.17,overcast clouds
81,Jian,CN,27.1172,114.9793,69.73,87,98,5.35,overcast clouds
82,Margate,GB,51.3813,1.3862,77.11,63,80,1.01,broken clouds
83,Severo-Kurilsk,RU,50.6789,156.125,45.91,88,79,4.47,broken clouds
84,Geraldton,AU,-28.7667,114.6,61.21,88,40,11.5,scattered clouds
85,Vaini,TO,-21.2,-175.2,73.56,88,20,8.05,few clouds
86,Tazmalt,DZ,36.3868,4.3989,98.11,14,4,12.53,clear sky
87,Dikson,RU,73.5069,80.5464,35.46,94,100,8.39,overcast clouds
88,Butaritari,KI,3.0707,172.7902,82.09,76,10,13.35,light rain
89,Kallifonion,GR,39.2725,21.9561,73.51,70,87,4.23,overcast clouds
90,Flinders,AU,-34.5833,150.8552,54.05,76,6,8.79,clear sky
91,Mayo,US,38.8876,-76.5119,82.18,76,100,12.66,overcast clouds
92,Mount Isa,AU,-20.7333,139.5,55.17,41,5,0.0,clear sky
93,Alice Springs,AU,-23.7,133.8833,45.95,81,21,0.0,few clouds
94,Yar-Sale,RU,66.8333,70.8333,54.52,49,2,15.52,clear sky
95,Nuristan,AF,35.3,70.8333,48.11,48,25,6.17,scattered clouds
96,Volot,RU,57.9278,30.7025,59.11,78,79,9.06,light rain
97,George,ZA,-33.963,22.4617,53.15,66,0,8.05,clear sky
98,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,60,0,12.66,clear sky
99,Darhan,MN,49.4867,105.9228,61.61,83,62,3.04,broken clouds
100,Tautira,PF,-17.7333,-149.15,78.3,78,28,20.29,light rain
101,Mandiana,GN,10.6333,-8.6833,87.49,54,89,3.89,light rain
102,Preobrazheniye,RU,42.9019,133.9064,54.43,93,46,8.19,scattered clouds
103,Longyearbyen,SJ,78.2186,15.6401,39.04,75,75,13.8,light intensity drizzle
104,Bredasdorp,ZA,-34.5322,20.0403,52.77,56,100,4.54,overcast clouds
105,Kijang,KR,35.2442,129.2139,71.33,81,6,7.09,clear sky
106,Gander,CA,48.9682,-54.5906,77.16,31,20,8.05,few clouds
107,Aquiraz,BR,-3.9014,-38.3911,86.45,62,28,12.84,scattered clouds
108,Srednekolymsk,RU,67.45,153.6833,46.27,43,9,8.57,clear sky
109,Chiang Rai,TH,19.9167,99.9167,77.13,99,40,4.61,scattered clouds
