City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
215,Porbandar,IN,87.78,scattered clouds,21.6422,69.6093,Lords Inn Porbandar
216,Corn Island,NI,77.59,overcast clouds,12.1694,-83.0418,Big Fish Guest House
224,Baracoa,CU,85.03,overcast clouds,20.3467,-74.4958,Hostal Rio Miel
231,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
233,Jalingo,NG,78.15,light rain,8.8833,11.3667,Debright Motel
234,Mitchell,US,77.11,clear sky,43.7094,-98.0298,Kelly Inn & Suites
239,Bandarbeyla,SO,77.7,overcast clouds,9.4942,50.8122,JABIR HOTEL
242,Hithadhoo,MV,83.91,overcast clouds,-0.6,73.0833,Scoop Guest House
243,Faya,SA,82.51,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
244,Gat,IL,83.39,clear sky,31.61,34.7642,OlusHome
245,Bengkulu,ID,76.77,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
248,Luancheng,CN,78.96,scattered clouds,37.8792,114.6517,Shell Hebei Shijiazhuang Luancheng Xinyuan Road Hotel
249,Da Nang,VN,78.78,few clouds,16.0678,108.2208,Grand Mercure Danang
251,Lewisporte,CA,78.55,clear sky,49.2499,-55.0482,Ocean View Bed & Breakfast
252,Mitsamiouli,KM,78.76,clear sky,-11.3847,43.2844,Foyer ADM
257,Altagracia De Orituco,VE,83.44,overcast clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
259,Luba,GQ,78.69,moderate rain,3.4568,8.5547,
260,Methoni,GR,76.86,broken clouds,36.8197,21.7049,Methoni Beach Hotel
267,Bireun,ID,77.45,overcast clouds,5.203,96.7009,Rumah Bp.AR. ISMAIL
269,Rapid Valley,US,75.15,clear sky,44.0625,-103.1463,Fairfield Inn & Suites by Marriott Rapid City
274,Ibra,OM,89.47,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
278,Aripuana,BR,88.84,broken clouds,-9.1667,-60.6333,
281,Halifax,CA,80.53,scattered clouds,44.6453,-63.5724,Hotel Halifax
292,Kodinar,IN,84.6,overcast clouds,20.7903,70.7031,residency of N.B vadhel
297,Lunca,RO,83.08,scattered clouds,43.8333,24.7667,Casa Mea
298,Faanui,PF,80.38,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
299,Ambulu,ID,75.88,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
308,Lazaro Cardenas,MX,77.81,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
310,Abu Samrah,SY,87.64,clear sky,35.3029,37.1841,
312,Donauworth,DE,82.15,clear sky,48.7,10.8,ASSOS HOTEL
314,Amapa,BR,84.49,broken clouds,1.0,-52.0,
316,Arlit,NE,81.72,light rain,18.7369,7.3853,Case de Passage De la Prefecture
323,Tigzirt,DZ,83.66,scattered clouds,36.8886,4.1198,Bloc D tazoumbirt (amar)
327,Sironj,IN,78.28,overcast clouds,24.1,77.7,shri shyam palace sironj
330,Dingle,PH,78.28,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
335,La Palma,US,80.19,overcast clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
336,Topolobampo,MX,89.35,clear sky,25.6,-109.05,Hotel Marina Topolobampo
342,Carmo Do Rio Claro,BR,78.3,clear sky,-20.9719,-46.1189,Varandas da Montanha Hotel
344,Cartagena,CO,87.42,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
345,Elko,US,82.06,clear sky,41.0002,-115.5012,
350,Centenario Do Sul,BR,77.61,clear sky,-22.8211,-51.5953,Pousada Familiar Paranapanema
351,Laiwu,CN,76.33,light rain,36.1928,117.6569,Hanting Hotel Laiwu Yinzuo Mall
356,Praia,CV,84.74,few clouds,14.9215,-23.5087,LT Aparthotel
357,Santa Maria Da Vitoria,BR,87.62,clear sky,-13.3947,-44.1886,Pousada Rio Current
358,Puerto Leguizamo,CO,77.63,overcast clouds,-0.1934,-74.7819,la casona de juancho
363,Havelock,US,84.94,broken clouds,34.8791,-76.9013,Sherwood Motel
365,Sao Joao Da Barra,BR,77.09,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
368,Malindi,KE,78.96,few clouds,-3.2175,40.1191,African House Resort
369,The Valley,AI,86.14,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
371,Nevsehir,TR,76.21,few clouds,38.9167,34.6667,
372,Kasongo-Lunda,CD,81.93,scattered clouds,-6.4667,16.8167,
376,Wyndham,US,88.05,overcast clouds,37.6985,-77.6125,Hilton Richmond Hotel & Spa/Short Pump
377,Santa Isabel Do Rio Negro,BR,84.63,scattered clouds,-0.4139,-65.0192,Hotel GSA
378,Samarai,PG,81.46,broken clouds,-10.6167,150.6667,Nuli Sapi
380,Kyaikkami,MM,81.77,heavy intensity rain,16.08,97.5675,St. joseph catholic church
382,Sal Rei,CV,80.8,few clouds,16.1833,-22.9167,Marine Club Beach Resort
383,Mardin,TR,88.86,few clouds,37.3131,40.7436,Reyhani Kasri Hotel
384,Komsomolskiy,UZ,75.92,overcast clouds,40.4272,71.7189,Ikathouse
386,Lipari,IT,83.32,few clouds,38.4674,14.954,Hotel Villa Augustus
388,Celestun,MX,86.07,clear sky,20.8667,-90.4,Posada Lilia
389,Kupang,ID,77.41,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
392,Mahajanga,MG,77.02,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
395,Tondon,GN,85.95,light rain,10.3667,-13.35,
396,Praia Da Vitoria,PT,77.25,broken clouds,38.7333,-27.0667,Hotel Branco I
397,Brokopondo,SR,83.79,clear sky,4.75,-55.1667,Matu Island
402,Manzanillo,CU,87.91,overcast clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
406,Lubbock,US,89.38,clear sky,33.6001,-101.8338,La Quinta Inn by Wyndham Lubbock - Downtown Civic Center
412,Jiazi,CN,79.27,overcast clouds,22.8779,116.067,Hotel Jin Hao
418,Mazatlan,MX,89.02,overcast clouds,23.2167,-106.4167,Hotel La Siesta
419,Malakal,SS,86.99,few clouds,9.5334,31.6605,Nile Palace Hotel
424,Bauchi,NG,76.51,light rain,10.5,10.0,
428,Rong Kwang,TH,75.9,light rain,18.339,100.3174,Rong Kwang Hotel
430,Sola,VU,80.53,overcast clouds,-13.8833,167.55,Leumerus Bungalows
431,Safaga,EG,88.93,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
