City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Seoul,KR,2022-06-15 12:24:07,37.5683,126.9778,67.6,88,100,4.61
68,Kodiak,US,2022-06-15 12:28:23,57.79,-152.4072,51.31,87,100,6.91
69,Clyde River,CA,2022-06-15 12:28:23,70.4692,-68.5914,37.63,93,100,9.22
70,Yar-Sale,RU,2022-06-15 12:28:24,66.8333,70.8333,69.33,35,51,11.5
71,Bredasdorp,ZA,2022-06-15 12:28:24,-34.5322,20.0403,57.09,52,12,8.88
72,Castro,BR,2022-06-15 12:25:30,-24.7911,-50.0119,50.59,84,94,3.51
73,Ponta Do Sol,PT,2022-06-15 12:28:25,32.6667,-17.1,77.72,71,41,13.85
74,Tiksi,RU,2022-06-15 12:28:26,71.6872,128.8694,38.03,80,71,12.01
75,Hithadhoo,MV,2022-06-15 12:25:34,-0.6,73.0833,82.56,70,66,4.68
76,Kajaani,FI,2022-06-15 12:26:56,64.2273,27.7285,60.85,82,100,2.3
77,Kieta,PG,2022-06-15 12:28:27,-6.2167,155.6333,78.48,84,100,4.41
78,Vila Velha,BR,2022-06-15 12:28:28,-20.3297,-40.2925,70.95,63,97,5.99
79,Palu,ID,2022-06-15 12:28:28,-0.8917,119.8707,76.33,96,76,2.98
80,Lompoc,US,2022-06-15 12:28:29,34.6391,-120.4579,62.78,89,40,0.0
81,Champasak,LA,2022-06-15 12:28:29,14.75,106.0,83.28,89,100,0.54
82,Lazaro Cardenas,MX,2022-06-15 12:28:30,17.9583,-102.2,76.73,87,100,6.08
83,Keti Bandar,PK,2022-06-15 12:28:30,24.1447,67.4497,87.55,70,23,17.27
84,Gorontalo,ID,2022-06-15 12:28:31,0.5412,123.0595,75.69,96,99,1.95
85,Atuona,PF,2022-06-15 12:28:31,-9.8,-139.0333,78.24,67,31,20.87
86,Kavieng,PG,2022-06-15 12:28:32,-2.5744,150.7967,82.09,77,77,11.01
87,Brookings,US,2022-06-15 12:28:32,44.3114,-96.7984,60.12,99,100,14.97
88,Airai,TL,2022-06-15 12:28:33,-8.9266,125.4092,58.41,89,80,3.04
89,Muros,ES,2022-06-15 12:28:33,42.7762,-9.0603,76.08,70,88,7.99
90,New Norfolk,AU,2022-06-15 12:28:34,-42.7826,147.0587,46.92,88,100,1.03
91,Bull Savanna,JM,2022-06-15 12:28:34,17.8868,-77.5902,75.18,78,83,6.02
92,Islahiye,TR,2022-06-15 12:29:35,37.025,36.6306,82.27,44,19,9.93
93,Hasaki,JP,2022-06-15 12:29:35,35.7333,140.8333,64.8,88,100,7.29
94,Ponta Delgada,PT,2022-06-15 12:25:44,37.7333,-25.6667,72.5,100,75,13.8
95,Cayeli,TR,2022-06-15 12:29:37,41.0923,40.7292,73.69,72,93,2.19
96,Cape Town,ZA,2022-06-15 12:21:11,-33.9258,18.4232,63.37,61,75,9.22
97,Sao Joao Da Barra,BR,2022-06-15 12:29:38,-21.6403,-41.0511,66.29,66,53,5.59
98,Mount Gambier,AU,2022-06-15 12:29:39,-37.8333,140.7667,53.51,94,100,12.66
99,Cidreira,BR,2022-06-15 12:29:40,-30.1811,-50.2056,58.15,82,1,3.4
100,Puerto Narino,CO,2022-06-15 12:29:41,-3.7703,-70.3831,72.01,88,92,0.25
101,Coquimbo,CL,2022-06-15 12:26:40,-29.9533,-71.3436,44.33,87,40,6.91
102,Butaritari,KI,2022-06-15 12:25:21,3.0707,172.7902,82.36,72,91,12.26
103,Prieska,ZA,2022-06-15 12:29:42,-29.6641,22.7474,53.64,33,57,10.56
104,Cockburn Town,TC,2022-06-15 12:29:43,21.4612,-71.1419,80.92,76,1,18.05
105,Arraial Do Cabo,BR,2022-06-15 12:29:44,-22.9661,-42.0278,69.76,68,40,5.75
106,Pisco,PE,2022-06-15 12:29:44,-13.7,-76.2167,59.05,77,100,3.44
107,Axim,GH,2022-06-15 12:29:45,4.8699,-2.2405,76.35,90,95,10.36
108,Bluff,NZ,2022-06-15 12:25:15,-46.6,168.3333,43.81,77,99,20.65
109,Xian,CN,2022-06-15 12:29:46,34.2583,108.9286,92.21,20,0,6.89
110,Vaini,TO,2022-06-15 12:25:31,-21.2,-175.2,71.76,94,20,4.61
111,Brookhaven,US,2022-06-15 12:29:47,31.5791,-90.4407,74.86,91,8,3.27
112,Bethel,US,2022-06-15 12:25:10,41.3712,-73.414,73.76,71,0,6.91
113,Deputatskiy,RU,2022-06-15 12:29:48,69.3,139.9,59.07,44,75,10.38
114,Odweyne,SO,2022-06-15 12:29:48,9.4092,45.064,90.18,29,4,21.32
115,Sibolga,ID,2022-06-15 12:29:49,1.7427,98.7792,76.73,86,97,1.63
116,Lebu,CL,2022-06-15 12:29:49,-37.6167,-73.65,50.5,89,45,4.94
117,Tasiilaq,GL,2022-06-15 12:29:50,65.6145,-37.6368,41.16,97,100,14.12
118,Bambanglipuro,ID,2022-06-15 12:29:50,-7.95,110.2833,79.61,84,99,5.35
119,Kaitangata,NZ,2022-06-15 12:29:51,-46.2817,169.8464,45.75,86,94,10.74
120,Mar Del Plata,AR,2022-06-15 12:29:10,-38.0023,-57.5575,50.09,88,87,1.99
121,Opuwo,NA,2022-06-15 12:29:52,-18.0607,13.84,78.6,14,0,8.28
122,Presque Isle,US,2022-06-15 12:29:52,46.6811,-68.0159,59.29,94,100,5.75
